iso3,year,mktcap_pct_gdp,mktcap_usd,stockstraded_pct_gdp
CHN,2003,30.4636713403437,512978770000.0,23.0418123019177
CHN,2004,22.5643099574266,447720260000.0,25.7784910302746
CHN,2005,17.3395191009478,401852250000.0,16.930227189784
CHN,2006,41.033691444197,1145454870000.0,41.5186016145544
CHN,2007,124.272951099968,4478866530000.0,174.954228247797
CHN,2008,38.1112495628245,1778784040000.0,83.6676195246582
CHN,2009,68.8524786238225,3573152460000.0,150.894311745525
CHN,2010,65.0431667921056,4027840300000.0,133.349306909426
CHN,2011,44.4762288163661,3412108290000.0,86.9942153952661
CHN,2012,42.6276108457102,3697376040000.0,57.9593439017259
CHN,2013,40.5326196174462,3949143490000.0,78.9888420252731
CHN,2014,56.2548972900922,6004947670000.0,112.036085808073
CHN,2015,72.5835808340326,8188019320000.0,348.609717745606
CHN,2016,63.9029590501553,7320738379789.18,159.698152645489
CHN,2017,69.4813653656583,8711267220000.0,137.373869513271
CHN,2018,44.7058557619521,6324879760000.0,92.3866174331064
CHN,2019,58.8558640185154,8569512150000.0,125.338015855542
CHN,2020,81.8646786726428,12276766270000.0,210.607270103945
CHN,2021,79.3192238397069,14437446150000.0,221.737510118324
CHN,2022,62.6166578891979,11469346090000.0,177.228885403939
CHN,2023,59.8556765846528,10935845590000.0,163.18790877354
CHN,2024,62.7181039133864,11755757950000.0,186.054420557923
CHN,2025,,15508858500000.0,
USA,2003,124.526145193632,14266265650000.0,140.052935654702
USA,2004,133.612737929627,16323726330000.0,156.362623479894
USA,2005,130.382734540376,17000864470000.0,197.805028654262
USA,2006,141.644163028722,19568972500000.0,221.357059349745
USA,2007,137.639681557832,19922279820000.0,296.061237544901
USA,2008,78.4725069790145,11590277780000.0,319.877794929994
USA,2009,104.138818334713,15077285740000.0,236.954184767403
USA,2010,114.848112933717,17283451680000.0,239.387755097641
USA,2011,100.262689943548,15640707040000.0,263.117067723014
USA,2012,114.85397505198,18668333210000.0,199.024980923079
USA,2013,142.697743735073,24034853520000.0,197.392842447832
USA,2014,150.02603277454,26330589190000.0,222.080547269849
USA,2015,137.688185444872,25067539600000.0,227.389073971395
USA,2016,146.306705272649,27352200720000.0,225.039211350828
USA,2017,164.91321885409,32120702650000.0,204.267566460686
USA,2018,148.23078992826,30436313050000.0,238.947637823649
USA,2019,159.420819612207,34085727370000.0,169.974999633926
USA,2020,197.3833187889,41569861770000.0,195.088022164129
USA,2021,208.228052204508,48548538120000.0,196.757396621236
USA,2022,157.384175416952,40297980320000.0,173.076167486492
USA,2023,179.463180379106,48979397700000.0,136.534444336926
USA,2024,216.290842771421,62185685320000.0,148.169705648382
USA,2025,,68937866210000.0,
